id,name,main_role,sub_role,class_1,class_2,Gold_Phys_Dmg,Gold_Mag_Dmg,Gold_DPS,Gold_Durability,Gold_CC,Gold_Poke,Gold_Engage,Gold_Utility,Gold_Kiting
222,Jinx,Bot,,Marksman,,1303.12,228.0,129.79,2.81,5.75,15.0,5.0,0.2,5.25
145,Kai'Sa,Bot,,Marksman,,756.23,226.45,145.67,2.77,0.0,30.0,2.0,0.09,5.25
429,Kalista,Bot,,Marksman,,946.76,0.0,135.52,2.94,4.5,12.0,2.4,0.2,5.25
43,Karma,Mid,Support,Burst,Enchanter,0.0,864.0,69.13,2.98,5.5,9.5,2.15,2.95,5.25
30,Karthus,Jungle,Bot,Battlemage,,0.0,1154.4,75.29,2.89,5.0,8.75,2.0,0.5,4.5
38,Kassadin,Mid,,Assassin,,0.0,1263.6,109.72,2.91,2.0,7.5,0.5,2.2,1.5
55,Katarina,Mid,Bot,Assassin,,0.0,1587.31,95.46,3.13,0.0,7.25,0.55,0.0,1.25
10,Kayle,Top,Mid,Specialist,,0.0,809.76,73.94,2.59,2.0,9.0,0.9,10.75,5.5
141,Kayn,Jungle,,Skirmisher,,1037.42,0.0,90.29,03.05,4.0,8.0,1.6,1.45,1.75
85,Kennen,Mid,Mid,Specialist,,0.0,1490.5,141.39,2.71,3.75,10.5,2.62,0.0,5.5
121,Kha'Zix,Jungle,,Assassin,,1216.56,0.0,97.52,2.87,2.0,10.25,0.0,1.55,1.25
203,Kindred,Jungle,,Marksman,,649.42,198.71,140.96,2.81,2.0,8.0,0.0,14.2,5.0
240,Kled,Top,,Skirmisher,,829.99,303.33,89.38,2.28,5.0,8.0,0.6,3.25,2.5
96,Kog'Maw,Bot,Mid,Marksman,,0.0,1127.94,122.2,2.72,3.0,13.8,1.55,0.3,5.0
897,K'Sante,Top,,Warden,Skirmisher,619.2,0.0,120.95,04.02,5.0,9.3,2.79,0.8,1.5
7,LeBlanc,Mid,,Burst,Assassin,0.0,1638.0,72.22,2.78,3.75,9.5,2.38,0.0,5.25
64,Lee Sin,Jungle,,Diver,,1376.08,141.52,92.14,3.1,6.5,12.0,0.9,2.9,1.25
89,Leona,Support,,Vanguard,,0.0,648.0,61.13,3.68,9.75,9.0,6.12,2.0,1.25
876,Lillia,Jungle,,Skirmisher,,0.0,885.0,76.91,2.81,8.0,30.0,6.0,0.3,3.25
127,Lissandra,Mid,,Burst,,0.0,1236.0,77.02,2.85,13.38,10.25,2.28,3.55,5.5
236,Lucian,Bot,,Marksman,,1249.28,198.0,85.25,2.76,0.0,9.0,1.2,0.0,5.0
117,Lulu,Support,,Enchanter,,0.0,312.0,61.14,2.52,8.0,9.5,2.7,13.7,5.5
99,Lux,Mid,Support,Burst,Artillery,0.0,1416.0,94.54,2.68,6.0,12.0,6.0,0.1,5.5
54,Malphite,Top,Mid,Vanguard,,36.0,784.0,82.44,3.73,11.7,6.25,3.0,0.6,1.25
90,Malzahar,Mid,,Battlemage,,0.0,1184.22,76.75,2.64,8.25,9.0,2.45,0.2,5.0
57,Maokai,Support,Jungle,Vanguard,,0.0,916.0,77.07,3.86,9.3,11.0,6.96,0.3,1.25
11,Master Yi,Jungle,,Skirmisher,,285.86,0.0,115.87,03.01,0.0,6.0,0.0,2.4,1.75
800,Mel,Mid,Support,Artillery,,0.0,1116.0,86.1,2.76,3.75,10.0,5.0,0.8,5.5
902,Milio,Support,,Enchanter,,0.0,352.0,55.14,2.44,6.25,12.0,4.2,8.8,5.25
21,Miss Fortune,Bot,,Marksman,,1524.06,348.0,118.94,2.69,2.0,10.0,1.45,0.2,5.5
82,Mordekaiser,Top,,Juggernaut,,0.0,574.8,72.63,2.86,3.75,7.0,1.75,2.0,1.75
25,Morgana,Support,Mid,Catcher,,0.0,1645.0,68.86,2.81,17.85,13.0,7.48,3.5,4.5
950,Naafiri,Jungle,,Assassin,,1444.94,0.0,74.47,2.9,0.0,9.0,0.9,2.55,1.25
267,Nami,Support,,Enchanter,,0.0,752.0,58.26,2.91,8.0,8.5,6.0,0.63,5.5
75,Nasus,Top,Jungle,Juggernaut,,250.0,460.0,97.61,2.59,5.0,6.5,0.5,5.0,1.25
111,Nautilus,Support,,Vanguard,,0.0,824.0,60.07,3.73,13.05,11.22,6.4,01.05,1.75
518,Neeko,Mid,Support,Burst,Catcher,0.0,1681.5,75.79,2.8,13.05,10.0,5.35,0.0,5.5
76,Nidalee,Jungle,,Specialist,,0.0,831.33,141.33,2.91,0.0,15.0,0.0,3.0,5.25
895,Nilah,Bot,,Skirmisher,,845.77,0.0,91.41,2.95,4.25,6.0,0.34,0.3,2.25
56,Nocturne,Jungle,,Assassin,,841.13,450.56,162.24,2.79,6.25,12.0,7.0,2.0,1.25
20,Nunu & Willump,Jungle,,Vanguard,,0.0,1484.8,58.49,3.65,11.25,17.5,9.97,2.75,1.25
2,Olaf,Top,Jungle,Diver,,389.47,0.0,201.13,2.68,3.0,10.0,0.0,1.8,1.25
61,Orianna,Mid,,Burst,,0.0,1291.2,79.14,2.98,3.88,11.25,1.97,0.75,5.25
516,Ornn,Top,,Vanguard,,254.45,312.0,65.43,3.7,11.55,7.5,7.8,0.4,1.75
80,Pantheon,Top,Support,Diver,,725.28,0.0,87.22,3.19,3.5,12.0,4.8,10.1,1.75
78,Poppy,Top,Jungle,Warden,,972.16,112.0,68.84,3.81,14.25,4.75,2.61,2.0,1.25
555,Pyke,Support,,Assassin,Catcher,779.65,0.0,81.3,3.11,6.3,11.0,2.97,0.1,1.5
246,Qiyana,Mid,Jungle,Assassin,,835.62,0.0,132.02,3.14,4.75,11.0,2.5,0.1,1.5
133,Quinn,Top,Mid,Specialist,,767.12,0.0,151.5,2.99,4.5,10.5,0.9,0.33,5.25
497,Rakan,Support,,Catcher,,0.0,740.0,84.68,2.94,6.75,10.0,3.25,3.1,3.0
33,Rammus,Jungle,,Vanguard,,0.0,520.0,64.83,3.44,13.35,2.5,5.1,2.3,1.25
421,Rek'Sai,Jungle,Top,Diver,,821.98,0.0,104.1,2.95,0.0,3.25,1.8,0.0,1.75
526,Rell,Support,,Vanguard,,0.0,640.0,53.55,3.25,14.55,12.0,3.65,1.0,1.75
888,Renata Glasc,Support,,Enchanter,,0.0,320.0,65.46,2.84,8.12,9.0,4.25,2.2,5.5
58,Renekton,Top,,Diver,,1370.2,1250.0,98.99,2.7,3.75,4.8,1.12,11.0,1.25
107,Rengar,Jungle,,Assassin,Diver,1055.47,342.0,137.51,3.14,4.38,10.0,2.75,0.0,1.25
92,Riven,Top,,Skirmisher,,889.29,0.0,83.78,2.9,3.12,3.6,2.48,1.7,1.25
68,Rumble,Top,,Battlemage,,0.0,2676.16,91.99,2.87,2.0,8.9,1.7,0.57,1.25
13,Ryze,Mid,Top,Battlemage,,0.0,672.0,87.43,2.81,1.5,10.0,0.0,0.15,5.5
360,Samira,Bot,,Marksman,,1101.88,215.82,135.25,3.22,0.0,9.4,0.6,0.0,5.0
113,Sejuani,Jungle,,Vanguard,,176.0,696.0,81.52,3.79,9.3,11.0,6.24,0.03,1.5
235,Senna,Bot,Support,Marksman,Enchanter,1058.4,0.0,55.87,2.94,6.62,13.0,6.5,2.9,6.8
147,Seraphine,Support,,Burst,Enchanter,0.0,915.84,72.12,2.38,6.88,13.0,4.88,0.68,5.25
875,Sett,Top,,Juggernaut,,719.88,0.0,77.33,2.7,3.0,4.5,0.8,05.05,1.25
35,Shaco,Jungle,Support,Assassin,,193.02,1036.62,106.05,3.15,7.0,6.25,1.5,0.2,1.25
98,Shen,Top,Jungle,Warden,,128.0,129.6,74.77,3.44,3.5,6.0,2.0,6.87,1.25
102,Shyvana,Jungle,,Juggernaut,,711.5,830.0,73.6,2.82,3.88,3.0,1.84,4.35,1.5
27,Singed,Top,,Specialist,,0.0,350.0,84.59,2.88,8.7,1.8,0.38,0.37,1.25
14,Sion,Top,Mid,Vanguard,,824.1,272.0,69.41,3.43,12.6,13.5,7.2,1.15,1.75
15,Sivir,Bot,,Marksman,,737.71,0.0,107.9,2.56,0.0,12.5,0.0,3.0,5.0
72,Skarner,Jungle,Top,Vanguard,Juggernaut,503.53,412.8,108.03,3.51,10.2,7.0,2.7,0.2,1.5
901,Smolder,Bot,Mid,Marksman,,1491.91,0.0,93.74,2.86,1.5,18.0,2.0,1.5,5.5
37,Sona,Support,,Enchanter,,0.0,440.0,52.78,2.64,3.12,8.5,2.25,3.9,5.5
16,Soraka,Support,,Enchanter,,0.0,384.0,51.1,2.56,5.5,9.25,4.0,11.4,5.5
50,Swain,Mid,Support,Battlemage,,0.0,1476.0,80.8,2.54,6.12,30.0,1.91,3.3,5.25
517,Sylas,Mid,Jungle,Burst,Skirmisher,0.0,1537.69,95.43,2.9,6.25,4.0,2.5,1.25,1.75
134,Syndra,Mid,,Burst,,0.0,2010.0,81.81,03.03,5.88,10.0,2.25,0.28,5.5
223,Tahm Kench,Top,,Warden,,0.0,596.0,61.03,3.43,13.75,12.0,7.8,13.3,1.75
163,Taliyah,Mid,,Battlemage,,0.0,891.0,84.84,2.76,4.5,10.0,4.0,0.2,5.25
91,Talon,Mid,Jungle,Assassin,,1311.36,0.0,100.69,2.87,1.0,9.0,0.55,0.55,1.25
44,Taric,Support,,Enchanter,Warden,0.0,240.0,56.89,3.75,3.12,5.75,1.29,24.0,1.5
17,Teemo,Top,Support,Specialist,,0.0,941.85,82.07,2.79,7.0,6.8,0.7,0.7,5.0
412,Thresh,Support,,Catcher,,0.0,1215.0,69.28,2.46,9.9,11.0,3.85,1.2,4.5
18,Tristana,Bot,,Marksman,,614.1,814.2,186.51,03.06,4.5,9.0,1.31,0.2,6.54
48,Trundle,Top,Jungle,Juggernaut,,194.5,20.0,196.76,2.99,9.5,1.75,1.3,5.7,1.75
23,Tryndamere,Top,Mid,Skirmisher,,435.28,0.0,108.36,3.15,1.0,6.6,0.0,13.1,1.75
4,Twisted Fate,Mid,,Burst,,0.0,1131.77,87.96,2.97,5.0,14.5,6.0,0.0,5.25
29,Twitch,Bot,,Marksman,,498.0,0.0,159.07,2.81,3.0,5.5,0.85,0.3,5.5
77,Udyr,Top,Jungle,Juggernaut,,37.0,540.0,109.69,2.87,7.12,4.5,1.8,2.9,1.25
6,Urgot,Top,,Juggernaut,,626.87,0.0,94.2,2.88,6.88,8.0,6.5,1.48,3.5
110,Varus,Bot,Top,Marksman,,547.48,647.08,105.08,2.76,7.0,15.96,4.11,0.2,5.75
67,Vayne,Bot,Top,Marksman,,328.31,0.0,152.09,2.78,3.75,5.5,1.38,0.0,5.5
45,Veigar,Mid,Bot,Burst,,0.0,1638.0,76.14,2.69,3.75,10.5,1.62,0.0,5.5
161,Vel'Koz,Support,Mid,Artillery,,0.0,1890.0,80.67,2.8,5.47,11.05,2.71,0.36,5.25
711,Vex,Mid,,Burst,,0.0,1356.0,74.39,2.68,10.5,12.0,8.0,1.8,5.5
254,Vi,Jungle,,Diver,,1054.12,0.0,103.41,2.9,5.12,7.25,2.93,0.0,1.25
234,Viego,Jungle,,Skirmisher,,519.4,290.0,114.24,03.06,4.88,9.0,2.48,0.05,2.0
112,Viktor,Mid,,Battlemage,,0.0,2341.02,83.45,2.88,4.75,6.0,1.75,0.1,5.25
8,Vladimir,Mid,Top,Battlemage,,0.0,1280.4,84.55,2.69,1.5,6.0,0.62,09.05,4.5
106,Volibear,Top,Jungle,Juggernaut,,1111.66,150.0,80.39,3.13,5.5,12.0,1.4,4.6,1.5
19,Warwick,Jungle,Top,Diver,,0.0,660.86,150.93,3.0,6.25,3.65,2.94,3.0,1.25
62,Wukong,Jungle,Top,Diver,,798.14,340.0,146.51,2.84,7.5,6.25,0.84,0.0,1.75
498,Xayah,Bot,,Marksman,,1493.99,0.0,149.58,2.84,3.12,11.0,2.48,10.0,5.25
101,Xerath,Mid,Support,Artillery,,0.0,2626.8,79.17,2.79,5.3,14.5,4.24,0.25,5.25
5,Xin Zhao,Jungle,,Diver,,921.72,210.0,153.9,03.01,5.5,11.0,1.8,05.05,1.75
157,Yasuo,Top,Mid,Skirmisher,,649.13,447.38,83.36,03.02,1.25,11.5,2.1,2.0,1.75
777,Yone,Top,Mid,Assassin,Skirmisher,247.71,0.0,82.73,2.99,6.25,12.0,3.68,0.0,1.75
83,Yorick,Top,,Juggernaut,,168.38,620.0,88.96,3.22,5.62,7.0,2.27,0.5,1.75
804,Yunara,Bot,,Marksman,,0.0,572.86,125.27,2.85,2.0,11.05,0.0,0.2,5.75
350,Yuumi,Support,,Enchanter,,0.0,536.0,62.08,1.93,2.0,8.5,1.1,10.7,4.25
904,Zaahen,Top,Jungle,Skirmisher,,990.4,0.0,85.01,3.26,3.12,8.5,1.91,2.32,1.75
154,Zac,Jungle,Top,Vanguard,,0.0,1100.0,65.96,3.82,7.2,18.0,6.48,0.1,1.75
238,Zed,Mid,Jungle,Assassin,,900.94,0.0,106.56,2.91,2.0,9.25,0.62,0.2,1.25
221,Zeri,Bot,,Marksman,,142.43,262.18,96.61,2.84,2.0,15.5,0.82,0.2,5.0
115,Ziggs,Bot,Mid,Artillery,,0.0,2166.0,85.39,2.8,2.75,14.0,3.0,0.15,5.5
26,Zilean,Support,,Specialist,,0.0,390.0,68.22,2.62,6.25,9.0,2.25,8.75,5.5
142,Zoe,Mid,Support,Burst,,0.0,3168.0,93.65,2.84,07.03,18.5,2.76,0.14,5.5
143,Zyra,Support,Jungle,Catcher,,0.0,1055.0,72.63,2.54,9.0,12.0,4.8,0.0,5.75
